[2025-06-01T16:37:08.669+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.722+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.724+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-06-01T16:41:38.341+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:39.895+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:41.449+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:43.011+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:44.605+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:46.217+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:47.854+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:49.493+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:51.138+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:52.769+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:54.378+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:56.016+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:57.604+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:41:59.233+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:42:00.842+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:42:02.456+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:42:04.070+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:42:05.654+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:42:07.237+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:42:08.873+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:42:10.516+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:42:11.651+0000] {local_task_job_runner.py:121} ERROR - Received SIGTERM. Terminating subprocesses
[2025-06-01T16:42:11.718+0000] {process_utils.py:131} INFO - Sending 15 to group 230. PIDs of all processes in the group: [231, 243, 245, 246, 263, 291, 262, 230]
[2025-06-01T16:42:11.721+0000] {process_utils.py:86} INFO - Sending the signal 15 to group 230
[2025-06-01T16:42:11.724+0000] {taskinstance.py:2450} ERROR - Received SIGTERM. Terminating subprocesses.
[2025-06-01T16:42:11.725+0000] {logging_mixin.py:188} INFO - ✅ No se encontró botón 'Cargar más', finalizando scroll.
[2025-06-01T16:42:11.886+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=245, status='terminated', started='16:37:09') (245) terminated with exit code None
[2025-06-01T16:42:11.894+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=243, status='terminated', started='16:37:08') (243) terminated with exit code None
[2025-06-01T16:42:12.020+0000] {taskinstance.py:2698} ERROR - Task failed with exception
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/models/taskinstance.py", line 433, in _execute_task
    result = execute_callable(context=context, **execute_callable_kwargs)
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/operators/python.py", line 199, in execute
    return_value = self.execute_callable()
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/operators/python.py", line 216, in execute_callable
    return self.python_callable(*self.op_args, **self.op_kwargs)
  File "/opt/airflow/dags/utils/scraping_autopia.py", line 97, in run_scraper
    records = scrape_all(ctx)
  File "/opt/airflow/dags/utils/scraping_autopia.py", line 53, in scrape_all
    total = listings.count()
  File "/home/airflow/.local/lib/python3.8/site-packages/playwright/sync_api/_generated.py", line 16597, in count
    return mapping.from_maybe_impl(self._sync(self._impl_obj.count()))
  File "/home/airflow/.local/lib/python3.8/site-packages/playwright/_impl/_sync_base.py", line 115, in _sync
    return task.result()
  File "/home/airflow/.local/lib/python3.8/site-packages/playwright/_impl/_locator.py", line 392, in count
    return await self._frame._query_count(self._selector)
  File "/home/airflow/.local/lib/python3.8/site-packages/playwright/_impl/_frame.py", line 128, in _query_count
    return await self._channel.send("queryCount", {"selector": selector})
  File "/home/airflow/.local/lib/python3.8/site-packages/playwright/_impl/_connection.py", line 59, in send
    return await self._connection.wrap_api_call(
  File "/home/airflow/.local/lib/python3.8/site-packages/playwright/_impl/_connection.py", line 520, in wrap_api_call
    raise rewrite_error(error, f"{parsed_st['apiName']}: {error}") from None
playwright._impl._errors.TargetClosedError: Locator.count: Target page, context or browser has been closed
[2025-06-01T16:42:12.031+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=231, status='terminated', started='16:37:08') (231) terminated with exit code None
[2025-06-01T16:42:12.032+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=291, status='terminated', started='16:37:09') (291) terminated with exit code None
[2025-06-01T16:42:12.034+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=262, status='terminated', started='16:37:09') (262) terminated with exit code None
[2025-06-01T16:42:12.035+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=246, status='terminated', started='16:37:09') (246) terminated with exit code None
[2025-06-01T16:42:12.036+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=263, status='terminated', started='16:37:09') (263) terminated with exit code None
[2025-06-01T16:42:12.055+0000] {taskinstance.py:1138} INFO - Marking task as FAILED. dag_id=scraping_autopia_dag, task_id=scrapear_datos_autopia, execution_date=20250601T163704, start_date=20250601T163708, end_date=20250601T164212
[2025-06-01T16:42:12.102+0000] {standard_task_runner.py:107} ERROR - Failed to execute job 12 for task scrapear_datos_autopia (Locator.count: Target page, context or browser has been closed; 230)
[2025-06-01T16:42:12.132+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=230, status='terminated', exitcode=1, started='16:37:07') (230) terminated with exit code 1
[2025-06-01T16:42:12.134+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 143
[2025-06-01T16:42:12.182+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
